"Шифр","Mobile - iOS","Mobile - Android","ML","Frontend","Backend - Python","Backend - NodeJS","Backend - Kotlin","Backend - Java","Backend - Golang","Backend - Custom","Backend - .NET"
7JnJTxZ,,,,,,86.12,,,,,
7L9Vp9w,,,,,,78.91,,,,0,
mM2q7zD,,,,,,44.5,,,,,
8v1h4HT,,,,,,0.19,,,,,
zcdgtzy,,,,,,0,,,,,
ajyvyof,,,,,,0,,,,,
zDL-3lL,,,,,,0,,,,,
vmywffe,,,,,,0,,,0,86.8,
TcJbhTd,,,,,,0,,,0,95.82,
XcxbsMs,,,,,,0,,,76.72,,
Rf8TL_q,,,,,,0,,,,0,
jP7sLFx,,,,,,0,,,,,
tvDqhV1,,,,,,,79.28,,,,
33STfVM,,,,,,,78.84,,,,
k~bmD9n,,,,,,,0,,,,
W6KqZx3,,,,,,,0,,,,
M5MvBwg,,,,,,,0,,,,
wquffuj,,,,,,,,99.67,,,
Z_gJCQS,,,,,,,,95.63,,,
L6K9sv5,,,,,,,,83.64,,,
cD0W-Xb,,,,,,,,82.78,,0.12,
C0GN4hz,,,,,,,,80.62,,,
gKv76GD,,,,,,,,80.6,,,
G-MXpbn,,,,,,,,70.37,,,
jZvKJ08,,,,,,,,68.55,,,
w3grXbM,,,,,,,,58.76,,,
~xMtcBD,,,,,,,,52.33,0,,
rPh3s81,,,,,,,,52.2,,,
K-89bXN,,,,,,,,45.59,,,
c4jdhkW,,,,,,,,42.88,,,
bhP~v69,,,,,,,,39.34,,,
11BC3XZ,,,,,,,,26.51,,,
01cHRVw,,,,,,,,0,,,
0Jh6B-t,,,,,,,,0,,,
csFd0P9,,,,,,,,0,,,
dm49cwt,,,,,,,,0,,,
GTN8nSQ,,,,,,,,0,,,
QXjVFZT,,,,,,,,0,,,
WJ2-8ll,,,,,,,,0,,,
bxRsQd1,,,,,,,,0,,,
4Qk3_g6,,,,,,,,0,,,
k3F6~5z,,,,,,,,0,,,
6ncP70s,,,,,,,,0,,,
JN60qVk,,,,,,,,0,,,
XJfKRHb,,,,,,,,0,,,
udanall,,,,,,,,,97.59,,
D_hvmqb,,,,,,,,,96.9,,
zvgzhuj,,,,,,,,,96.42,,
wtDF7xS,,,,,,,,,95.66,,
HSwLmWh,,,,,,,,,95.45,,
rBs~wTG,,,,,,,,,95.26,,
jlyxqxt,,,,,,,,,94.07,,
99bgwLQ,,,,,,,,,93.25,,
hjczxeg,,,,,,,,,91.22,,
bZwwt31,,,,,,,,,86.69,,
wXVzqvd,,,,,,,,,85.91,,
NlTqRpb,,,,,,,,,85.14,,
hVH3SZH,,,,,,,,,84.69,,
d0NCqt5,,,,,,,,,83.91,,
D~L3gPT,,,,,,,,,80.66,,
skKjnTm,,,,,,,,,75.05,,
guyxyfi,,,,,,,,,73.94,,
LVLDMxg,,,,,,,,,72.23,,
ZgZhZf9,,,,,,,,,72.23,,
DQgBXgs,,,,,,,,,70.62,,
82dCwB2,,,,,,,,,70.35,,
LJPVLsR,,,,,,,,,70.32,,
pVVCXHT,,,,,,,,,69.27,,
Vk6h6R9,,,,,,,,,56.4,,
k8LhQDV,,,,,,,,,54.28,,
Cq~2hJV,,,,,,,,,51.72,,
glg3l97,,,,,,,,,45.84,,
xrdpn2n,,,,,,,,,44.68,,
sdNm6~K,,,,,,,,,44.04,,
nRw-k5q,,,,,,,,,27.13,,
wVS1zTP,,,,,,,,,25.59,,
50c_5ZF,,,,,,,,,4.31,,
b~Kz-lF,,,,,,,,,0,0,
#N/A,,,,,,,,,,,
fhtiltk,,,,,,,,,0,,
72jRJwR,,,,,,,,,0,,
hPXCtmh,,,,,,,,,0,,
T9sk0BC,,,,,,,,,0,,
NM3S4c4,,,,,,,,,0,,
856wVgJ,,,,,,,,,0,,
jQJNsF3,,,,,,,,,0,,
Zq5pv_T,,,,,,,,,0,,
ng-zpdf,,,,,,,,,0,,
htkg9c2,,,,,,,,,0,,
1Dnq6x1,,,,,,,,,0,,
q1sC7J9,,,,,,,,,0,,
jh_d01d,,,,,,,,,0,,
v1Gw-HV,,,,,,,,,0,,
x8JL8Dp,,,,,,,,,0,0,
BWs28wZ,,,,,,,,,0,,
VTVX-h7,,,,,,,,,0,,
Hs0XbgK,,,,,,,,,0,,
QKKW7WV,,,,,,,,,,97.83,
nZqNJpJ,,,,,,,,,,86.75,
8KsHh7z,,,,,,,,,,84.12,
pyeypwp,,,,,,,,,,83.29,
xQWk~JT,,,,,,,,,,82.32,
M-BPnXb,,,,,,,,,,81.82,
-9~d7L2,,,,,,,,,,70.82,
TcSWPhF,,,,,,,,,,66.3,
z140~mJ,,,,,,,,,,41.4,
W_nH3WJ,,,,,,,,,,0,
wqdt5mw,,,,,,,,,,0,
8j0zxBQ,,,,,,,,,,0,
6sHfMrt,,,,,,,,,,0,
pTCTp23,,,,,,,,,,0,
zFQ_01g,,,,,,,,,,,98.38
5Rwv6bM,,,,,,,,,,,95.65
T4prbjL,,,,,,,,,,,93.13
2MJrCkG,,,,,,,,,,,87.08
42GDSTH,,,,,,,,,,,83.13
lcisbrm,,,,,,,,,,,80.39
hfWrQ7m,,,,,,,,,,,79.83
~GXT0n6,,,,,,,,,,,62.68
fLlcBHG,,,,,,,,,,,29.98
kK_-qnv,,,,,,,,,,,18.8
j1T~X_N,,,,,,,,,,,0
ZZZThFT,,,,,,,,,,,0
